org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-client+kubernetes-csi,kubernetes+test-infra+website+kops+community+service-catalog+cri-o+ingress-nginx+kubespray+kubernetes.github.io+minikube+dashboard+autoscaler+external-storage+kubeadm+cri-containerd+kube-aws+features+ingress-gce+external-dns+ingress+heapster+bootkube+kube-state-metrics+kube-deploy+kubectl+kompose+kubernetes-docs-cn+federation+cluster-registry+java+cri-tools+release+sig-release+contrib+kube-arbitrator+examples+csharp+client-go+kubernetes-anywhere+perf-tests+cloud-provider-openstack+frakti+dns+kube-openapi+descheduler+python+client-python+apiserver-builder+node-feature-discovery+drivers+external-provisioner+gengo+metrics-server+csi-test+publishing-bot+node-problem-detector+k8s.io+rktlet+cloud-provider-gcp+repo-infra+python-base+gen+code-generator+utils+git-sync+javascript+steering+cloud-provider-azure+external-attacher+driver-registrar+apiextensions-apiserver+docs+haskell+sample-controller+apimachinery+kubernetes-bootcamp+reference-docs+custom-metrics-apiserver+cloud-provider-vsphere+sample-apiserver+cluster-capacity+apiserver+kubernetes-template-project+typescript+api+go+external-snapshotter+cluster-proportional-autoscaler+metrics+spartakus+ruby+cluster-proportional-vertical-autoscaler+kube-aggregator+livenessprobe++ip-masq-agent+kube-mesos-framework+cloud-provider-aws+external-attacher-csi+resources+common+kubernetes-docs-ko+kubernetes-docs-zh+go-base+nfs-provisioner+org+community+kubernetes-csi.github.io+application-images+flex-provisioner++md-check+kube-ui+external-provisioner-csi+kubernetes-docs-ja,406255,318709,47657,12995,26894,13927,Kubernetes,kubernetes.io
kubernetes+helm+kubernetes-helm,charts+helm+charts+monocular+chartmuseum+helm+helm-www+community+community+rudder-federation+monocular+chart-testing+chartmuseum+chart-testing,44180,32333,6967,1564,3316,3562,Helm,helm.sh
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-node+grpc-gateway+grpc-swift+grpc.github.io+proposal+go-grpc-middleware+go-grpc-prometheus+polyglot+grpc-web+grpc-dart+grpc-proto+grpc-java-api-checker+grpc-opentracing+grpc-experiments+awesome-grpc+grpc-docker-library+grpc-httpjson-transcoding+homebrew-grpc+grpc-php+grpc-contrib+grpc-haskell+java-grpc-prometheus++,51706,31603,9790,4372,5941,2884,gRPC,grpc.io
prometheus,prometheus+alertmanager+node_exporter+docs+tsdb+blackbox_exporter+snmp_exporter+client_java+jmx_exporter+client_golang+client_python+mysqld_exporter+statsd_exporter+pushgateway+cloudwatch_exporter+procfs+common+prombench+haproxy_exporter+promu+prometheus.github.io+client_ruby+golang-builder+consul_exporter+graphite_exporter+collectd_exporter+memcached_exporter+influxdb_exporter+nagios_plugins+prom2json+client_model+demo+prometheus_api_client_ruby+talks+busybox+test-infra+demo-site,33508,22174,4424,3084,3826,2454,Prometheus,prometheus.io
fluent,fluent-bit+fluentd+fluentd-docs+fluentd-kubernetes-daemonset+fluent-plugin-kafka+fluent-logger-python+fluentd-docker-image+fluentd-ui+fluent-plugin-rewrite-tag-filter+fluent-logger-node+fluent-bit-docs+fluent-plugin-s3+fluent-bit-kubernetes-logging+fluentd-website+fluent-plugin-grok-parser+kafka-connect-fluentd+fluent-plugin-prometheus+fluent-plugin-mongo+NLog.Targets.Fluentd+fluent-plugin-sql+fluent-bit-docker-image+fluent-plugin-webhdfs+fluent-logger-golang+fluent-bit-go+fluent-bit-kubernetes-daemonset+fluent-logger-java+fluent-logger-php+fluent-plugin-windows-eventlog+fluent-logger-ruby+fluentd-benchmark+fluent-logger-perl+fluent-plugin-splunk+data-collection+fluent-logger-scala+fluentd-forwarder+fluent-plugin-multiprocess+fluent-bit-packaging+fluent-plugin-scribe+fluent-plugin-flume+fluent-bit-website,8994,4453,1546,1586,1409,1031,Fluentd,fluentd.org
cncf+crosscloudci,devstats+landscape+k8s-conformance+toc+gitdm+cross-cloud+gha2db+cross-cloud+cncf-configuration+artwork+wg-serverless+velocity+cluster+crosscloudci+apisnoop+soc+cross-project+ambassadors+cnfs+presentations+filterable-landscape+coredns-configuration+onap-demo+cross-project+kubernetes-configuration+prometheus-configuration+fluentd-configuration+devstats-website+curriculum+meetups+onap-so-configuration+wg-networking+linkerd-configuration+foundation+wg-storage+gha2pg+contribute+ci-dashboard+wg-ci+awards+build+demo+artwork+ci_status_repository+crosscloudci-trigger+hnanalysis+enduser+servicedesk+onap-ciservice+svg-autocrop,15312,5002,1952,6820,1538,689,CNCF,www.cncf.io
envoyproxy+lyft,envoy+data-plane-api+envoy+envoyproxy.github.io+envoy-filter-example+go-control-plane+java-control-plane+envoy-tools++control-plane+artwork+envoybot,36851,25760,4617,4766,1708,666,Envoy,github.com/envoyproxy
coreos,etcd,11596,7302,1733,1187,1374,666,etcd,coreos.com/etcd
vmware+goharbor,harbor+blog+goharbor.github.io,10365,4746,1990,902,2727,544,Harbor,vmware.github.io/harbor
jaegertracing+uber,jaeger+jaeger-client-java+jaeger-ui+jaeger-client-node+jaeger-client-go+jaeger-client-python+jaeger+jaeger-kubernetes+documentation+cpp-client+jaeger-client-csharp+jaeger-openshift+cpp-client-hunter-cache+jaeger-client-cpp+spark-dependencies+jaeger-lib+jaeger-performance+legacy-client-java+jaeger-idl+xdock-zipkin-brave+jaeger-client-javascript+jaeger-analytics+artwork+go-repo-move-test+,14048,8354,2195,2075,1424,482,Jaeger,jaeger.readthedocs.io/en/latest
nats-io,nats-streaming-server+gnatsd+node-nats+nats-site+go-nats+java-nats+csharp-nats+cnats+nats-operator+go-nats-streaming+prometheus-nats-exporter+asyncio-nats+java-nats-streaming+node-nats-streaming+python-nats+csharp-nats-streaming+pure-ruby-nats+asyncio-nats-streaming+ruby-nats+nats-docker+nginx-nats+nats-streaming-docker+go-nats-examples+official-images+roadmap+docker-docs+ts-nats+ruby-nats-streaming+nats-on-a-log+elixir-nats+node-nuid+nkeys+nats-general+nats-top+nats-streaming-operator+nuid+graft+nats-connector-redis+nats-connector-framework+js-nuid+latency-tests+nats,7191,3043,1355,1853,940,415,NATS,nats.io
rook,rook+rook.github.io+operator-kit+coreos-kubernetes+ceph+artwork,9392,6565,1106,622,1099,337,Rook,rook.io
containerd+docker,containerd+cri+cri-containerd+continuity+cgroups+go-runc+console+btrfs+go-cni+aufs+typeurl+zfs+ttrpc+fifo+containerd+project+,13654,9214,2414,1121,905,291,containerd,containerd.io
opentracing,opentracing-java+opentracing-csharp+opentracing-cpp+opentracing.io+opentracing-php+specification+opentracing-python+opentracing-go+opentracing-ruby+opentracing-c+opentracing-javascript+opentracing-rust+opentracing-java-v030+basictracer-python+opentracing-lua+basictracer-go+documentation+basictracer-csharp+contrib+opentracing-objc+basictracer-javascript+lua-bridge-tracer,5654,3785,860,619,390,250,OpenTracing,opentracing.io
linkerd,linkerd+linkerd2+linkerd2-proxy+linkerd-examples+linkerd-tcp+linkerd-zipkin+linkerd-viz+namerctl+linkerd2-proxy-api+linkerd-inject+tacho+k8s-community-cluster+rustup-nightly-docker,6474,3662,895,1265,652,238,Linkerd,linkerd.io
coredns,coredns+deployment+coredns.io+ci+forward+kubernetai+unbound+fallback+example+distributed+release+perf-tests+policy+presentations+client,10401,5724,1892,1796,989,235,CoreDNS,coredns.io
datawire+telepresenceio,telepresence+telepresence+ci-experiment,2055,737,332,600,386,157,Telepresence,telepresence.io
rkt,rkt+rkt-builder+stage1-xen,1216,745,221,101,149,129,rkt,github.com/rkt/rkt
containernetworking,plugins+cni,1520,1026,254,99,141,129,CNI,github.com/containernetworking
youtube+vitessio,vitess+vitess+messages+contrib+vitess-operator+,6152,3431,1550,697,474,124,Vitess,vitess.io
cloudevents+openeventing,spec+spec+cloudevents.github.io+cloudevents-web+artwork,2729,2082,337,140,170,92,CloudEvents,cloudevents.io
theupdateframework+docker,notary+notary,1007,629,176,73,129,86,Notary,github.com/theupdateframework/notary
open-policy-agent,opa+opa-istio-plugin+opa-docker-authz+contrib+library+kube-mgmt+client-python+rego-python,2119,691,712,405,311,66,OPA,openpolicyagent.org
spiffe,spiffe+spiffe-example+spiffe-nginx+go-spiffe+java-spiffe+plugin-template+spiffe-helper+aws-iid-attestor+spiffe.github.io+aws-resolver+ghostunnel+kerberos-attestor+spire-k8s+sidecar+spire-test+c-spiffe+aws-role-attestor+etcd-datastore+svid+svid-test+community+clabot,976,393,270,227,86,44,Spiffe,spiffe.io
theupdateframework,tuf+taps+theupdateframework.github.io+specification+artwork,1469,420,528,394,127,36,TUF,github.com/theupdateframework.com
spiffe,spire,1806,972,418,186,230,32,Spire,spiffe.io
"",RichiH/OpenMetrics,439,329,29,35,46,28,OpenMetrics,github.com/RichiH/OpenMetrics
